id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
ESCO2	ESCO2	2.20710E+00	0	Unclassified		OMIM|609353;HPO|157570|Abnormality of cardiovascular system morphology, Abnormality of the metacarpal bones, Absent earlobe, Absent radius, Accessory spleen, Ankle contracture, Aortic valve stenosis, Aplasia of the ulna, Aplasia/Hypoplasia of the thumb, Atrial septal defect, Autosomal recessive inheritance, Bicornuate uterus, Biliary tract abnormality, Blue sclerae, Bowing of the long bones, Brachycephaly, Brachydactyly, Cafe-au-lait spot, Cataract, Cleft eyelid, Cleft palate, Cleft upper lip, Clinodactyly, Clinodactyly of the 5th finger, Clitoral hypertrophy, Complete duplication of thumb phalanx, Cranial nerve paralysis, Craniosynostosis, Cryptorchidism, Cystic hygroma, Downslanted palpebral fissures, Elbow flexion contracture, Enlarged labia minora, External ear malformation, Fair hair, Frontal encephalocele, Global developmental delay, Hand oligodactyly, High palate, Hip contracture, Horseshoe kidney, Hydrocephalus, Hypertelorism, Hypoplasia of the radius, Hypospadias, Intellectual disability, Intrauterine growth retardation, Knee flexion contracture, Long penis, Low-set ears, Malar flattening, Mesomelic arm shortening, Microcephaly, Micrognathia, Microphthalmia, Midface capillary hemangioma, Narrow naris, Opacification of the corneal stroma, Patent ductus arteriosus, Phocomelia, Polycystic kidney dysplasia, Polyhydramnios, Posteriorly rotated ears, Postnatal growth retardation, Premature birth, Premature separation of centromeric heterochromatin, Proptosis, Proximal placement of thumb, Radial deviation of finger, Radioulnar synostosis, Seizures, Severe intrauterine growth retardation, Shallow orbits, Short neck, Short stature, Short thumb, Sparse hair, Syndactyly, Talipes equinovalgus, Tetraphocomelia, Underdeveloped nasal alae, Underdeveloped supraorbital ridges, Ventricular septal defect, Wide nasal bridge, Wormian bones, Wrist flexion contracture
NCAPH	NCAPH	2.20098E+00	0	Cell cycle control protein	BrainSpLMD|23397;Eurexp|euxassay_002558|ventricular layer	OMIM|602332
ARHGAP19	ARHGAP19	2.18195E+00	0	GTPase activating protein	BrainSpLMD|84986	OMIM|611587
HJURP	HJURP	2.17896E+00	0	Unclassified	BrainSpLMD|55355	OMIM|612667
CDCA5	CDCA5	2.17501E+00	0	Unclassified	BrainSpLMD|113130	OMIM|609374
KIF24	KIF24	2.17324E+00	0	Motor protein	BrainSpLMD|347240	OMIM|613747
TOP2A	TOP2A	2.17311E+00	0	Enzyme: Topoisomerase	BrainSpLMD|7153	OMIM|126430;HPO|7153|Elevated urinary catecholamines, Neoplasm of the nervous system
TPX2	TPX2	2.15937E+00	0	Cell cycle control protein	BrainSpLMD|22974	OMIM|605917
ITGA2	ITGA2	2.14379E+00	0	Cell surface receptor	BrainSpLMD|3673;Eurexp|euxassay_009582|medulla	OMIM|192974;HPO|3673|Autosomal dominant inheritance, Bruising susceptibility, Congenital onset, Thrombocytopenia
SAMD4A	SAMD4A	2.13595E+00	0	Unclassified	BrainSpLMD|23034	OMIM|610747
DIAPH3	DIAPH3	2.12993E+00	0	Unclassified	BrainSpLMD|81624;Eurexp|euxassay_012699|incisor, molar, pituitary, submandibular gland primordium, ventricular layer, vibrissa	SFARI||Autism, 5 - Hypothesized but untested;OMIM|614567;HPO|81624|Abnormal auditory evoked potentials, Abnormal speech discrimination, Absence of acoustic reflex, Autosomal dominant inheritance, Sensorineural hearing impairment
CENPI	CENPI	2.12862E+00	0	Unclassified	BrainSpLMD|2491	OMIM|300065
AURKB	AURKB	2.11285E+00	0	Serine/threonine kinase	BrainSpLMD|9212	OMIM|604970
KIF20A	KIF20A	2.10731E+00	0	Motor protein	BrainSpLMD|10112;Eurexp|euxassay_004675|ventricular layer	OMIM|605664
NUF2	NUF2	2.09844E+00	0	Cytoskeletal associated protein;Cell cycle control protein	BrainSpLMD|83540	OMIM|611772
KIF11	KIF11	2.09822E+00	0	Motor protein	BrainSpLMD|3832	OMIM|148760;HPO|3832|Abnormal toenail morphology, Abnormality of retinal pigmentation, Anteverted nares, Attention deficit hyperactivity disorder, Autosomal dominant inheritance, Broad nasal tip, Chorioretinal dysplasia, Cortical gyral simplification, Deep philtrum, Depressed nasal bridge, Downslanted palpebral fissures, Epicanthus, Flat occiput, Global developmental delay, Intellectual disability, Intellectual disability, mild, Leukonychia, Long philtrum, Lymphedema, Mandibular prognathia, Melanonychia, Microcephaly, Muscular hypotonia, Myopia, Protruding ear, Sloping forehead, Specific learning disability, Thick lower lip vermilion, Thin upper lip vermilion
SGOL1	SGOL1	2.09142E+00	0			
BUB1	BUB1	2.08802E+00	0	Serine/threonine kinase	BrainSpLMD|699;Eurexp|euxassay_018012|3rd ventricle, 4th ventricle, adrenal gland, cochlea, cochlear duct, cortex, foregut-midgut junction, incisor, liver, liver and biliary system, loop, lung, metanephros, midgut, molar, naris, pancreas, penis, retina, rib, submandibular gland primordium, testis, thymus primordium, tongue, turbinate bones, ventricular layer, vibrissa	OMIM|602452;HPO|699|Abnormality of vision, Ascites, Cataract, Corneal opacity, Dandy-Walker malformation, Epicanthus, Glaucoma, Global developmental delay, Increased nuchal translucency, Intellectual disability, Microcephaly, Micrognathia, Microphthalmia, Muscular dystrophy, Polyhydramnios, Short stature, Triangular face
CENPE	CENPE	2.07846E+00	0	DNA binding protein	BrainSpLMD|1062	OMIM|117143;HPO|1062|Abnormality of dental enamel, Absent earlobe, Autosomal recessive inheritance, Cachexia, Cerebellar hypoplasia, Clinodactyly of the 5th finger, Cognitive impairment, Cone-shaped epiphysis, Convex nasal ridge, Cortical gyral simplification, Craniosynostosis, Delayed skeletal maturation, Downslanted palpebral fissures, Glaucoma, Hip dysplasia, Intellectual disability, Intrauterine growth retardation, Joint hyperflexibility, Metaphyseal sclerosis, Microcephaly, Micrognathia, Mild global developmental delay, Narrow face, Partial agenesis of the corpus callosum, Prematurely aged appearance, Prominent nose, Reduced number of teeth, Round face, Sandal gap, Seizures, Short foot, Short stature, Sloping forehead, Small hand, Sparse scalp hair
KIF2C	KIF2C	2.07638E+00	0	Motor protein	BrainSpLMD|11004;Eurexp|euxassay_003601|4th ventricle, bladder, forebrain, hindbrain, hindlimb, incisor, limb, liver, lung, metanephros, midbrain, midgut, molar, oesophagus, olfactory, orbito-sphenoid, pancreas, penis, pharyngo-tympanic tube, respiratory, retina, spinal cord, submandibular gland primordium, testis, thymus primordium, thyroid, tongue, ventricular layer, vertebral axis muscle system, vibrissa	OMIM|604538
SHCBP1	SHCBP1	2.07322E+00	0	Unclassified	BrainSpLMD|79801;Eurexp|euxassay_006012|submandibular gland primordium, ventricular layer	OMIM|611027
PLK1	PLK1	2.06562E+00	0	Serine/threonine kinase	BrainSpLMD|5347	OMIM|602098
MELK	MELK	2.05734E+00	0	Serine/threonine kinase	BrainSpLMD|9833;Eurexp|euxassay_018584|4th ventricle, choroid plexus, clavicle, cortex, dorsal root ganglion, facial VII, fundus region, glossopharyngeal IX, hindgut, incisor, left, loop, lumen, mandible, mantle layer, maxilla, metanephros, midgut, molar, naris, olfactory, orbito-sphenoid, pancreas, rectum, renal/urinary system, respiratory, right, stomach, submandibular gland primordium, testis, thymus primordium, trigeminal V, urethra, vagus X, ventral grey horn, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ	OMIM|607025
SGOL2	SGOL2	2.05464E+00	0			
GTSE1	GTSE1	2.05296E+00	0	Unclassified	BrainSpLMD|51512	OMIM|607477
CENPN	CENPN	2.03850E+00	0	Unclassified	BrainSpLMD|55839	OMIM|611509
PBK	PBK	2.03814E+00	0	Serine/threonine kinase	BrainSpLMD|55872;Eurexp|euxassay_018747|adrenal gland, cervical, cervico-thoracic, incisor, liver, mandible, marginal layer, maxilla, metanephros, molar, naris, neural retina, olfactory, pancreas, sublingual gland primordium, thoracic, thymus primordium, thyroid, ventral grey horn, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ	OMIM|611210
LRIG3	LRIG3	2.03294E+00	0	Unclassified	BrainSpLMD|121227	OMIM|608870;COSMIC||NSCLC
FAM83D	FAM83D	2.03108E+00	0	Unclassified	BrainSpLMD|81610;Eurexp|euxassay_006378|olfactory, ventricular layer	
TROAP	TROAP	2.02685E+00	0	Adhesion molecule	BrainSpLMD|10024	OMIM|603872
NUSAP1	NUSAP1	2.02147E+00	0	Cell cycle control protein	BrainSpLMD|51203	OMIM|612818
DEPDC1	DEPDC1	2.01683E+00	0	Unclassified	BrainSpLMD|55635	OMIM|612002
CKAP2L	CKAP2L	2.01620E+00	0	Unclassified	BrainSpLMD|150468;Eurexp|euxassay_002011|thymus primordium, ventricular layer	OMIM|616174;HPO|150468|2-4 toe syndactyly, Aphasia, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Broad forehead, Cerebellar atrophy, Clinodactyly of the 5th finger, Cryptorchidism, Decreased body weight, Delayed skeletal maturation, Dysphasia, Dystonia, Echolalia, Finger syndactyly, Frontal bossing, Frontal hirsutism, Global developmental delay, Intellectual disability, Intrauterine growth retardation, Low hanging columella, Microcephaly, Microdontia, Mutism, Optic atrophy, Postnatal growth retardation, Prominent forehead, Prominent nasal bridge, Proptosis, Seizures, Severe short stature, Short philtrum, Single transverse palmar crease, Specific learning disability, Thin vermilion border, Underdeveloped nasal alae, Ventricular septal defect, Visual impairment, Wide nasal bridge, Wide nose
RRM2	RRM2	1.99962E+00	0	Cell cycle control protein	BrainSpLMD|6241;Eurexp|euxassay_004733|footplate, handplate, hindbrain, leg, liver, lung, mantle layer, mesenchyme, metanephros, olfactory, retina, spinal cord, tail, ventricular layer, vibrissa	OMIM|180390
C5orf34	C5orf34	1.99848E+00	0	Unclassified	BrainSpLMD|375444	
PHF19	PHF19	1.99299E+00	0	Transcription regulatory protein	BrainSpLMD|26147;Eurexp|euxassay_004365|cortex, ventricular layer;BrainSpMouseDev|49857	OMIM|609740
PRR11	PRR11	1.99169E+00	0	Unclassified	BrainSpLMD|55771	OMIM|615920
ARHGAP11B	ARHGAP11B	1.99085E+00	0	Unclassified		SFARI||Autism, No category;OMIM|616310
CENPF	CENPF	1.98165E+00	0	Cell cycle control protein	BrainSpLMD|1063	OMIM|600236
CDCA2	CDCA2	1.97799E+00	0	Unclassified	BrainSpLMD|157313;Eurexp|euxassay_000111|cortex, marginal layer, metanephros, midbrain, thalamus, ventricular layer	
SKA1	SKA1	1.97723E+00	0	Unclassified	BrainSpLMD|220134	OMIM|616673
SPC25	SPC25	1.97387E+00	0	Cell cycle control protein	BrainSpLMD|57405;Eurexp|euxassay_000451|mantle layer, medulla oblongata, ventral grey horn, ventricular layer	OMIM|609395
CCNB2	CCNB2	1.96998E+00	0	Cell cycle control protein	BrainSpLMD|9133;Eurexp|euxassay_004323|axial muscle, ventricular layer	OMIM|602755
PRC1	PRC1	1.96996E+00	0	Cell cycle control protein	BrainSpLMD|9055	OMIM|603484
CCNB1	CCNB1	1.96868E+00	0	Cell cycle control protein	BrainSpLMD|891	OMIM|123836
MKI67	MKI67	1.95991E+00	0	Cell cycle control protein	BrainSpLMD|4288	OMIM|176741
BRCA2	BRCA2	1.95435E+00	0	Transcription regulatory protein	BrainSpLMD|675;Eurexp|euxassay_019615|ventricular layer	SFARI||Autism, 4 - Minimal evidence;OMIM|600185;COSMIC||breast, ovarian, pancreatic, breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1);HPO|675|Abdominal pain, Abnormality of chromosome stability, Abnormality of the fallopian tube, Almond-shaped palpebral fissure, Aplasia/Hypoplasia of the radius, Autosomal dominant inheritance, Autosomal recessive inheritance, Bone marrow hypocellularity, Breast carcinoma, Chromosomal breakage induced by crosslinking agents, Esophageal atresia, Global developmental delay, Heterogeneous, Hypopigmented skin patches, Intellectual disability, Irregular hyperpigmentation, Leukopenia, Microcephaly, Nephroblastoma, Ovarian neoplasm, Primary peritoneal carcinoma, Pyridoxine-responsive sideroblastic anemia, Scoliosis, Short palpebral fissure, Short stature, Somatic mutation, Thrombocytopenia, Tracheoesophageal fistula
CKS2	CKS2	1.95277E+00	0	Cell cycle control protein	BrainSpLMD|1164	OMIM|116901
TAGLN2	TAGLN2	1.95197E+00	0	Unclassified	BrainSpLMD|8407;Eurexp|euxassay_001884|ventricular layer;BrainSpMouseDev|21107	OMIM|604634
TTK	TTK	1.94914E+00	0	Dual specificity kinase	BrainSpLMD|7272	OMIM|604092
PARPBP	PARPBP	1.94316E+00	0	Unclassified	BrainSpLMD|55010	OMIM|613687
HAUS8	HAUS8	1.93611E+00	0	Unclassified	BrainSpLMD|93323	OMIM|613434
FZD8	FZD8	1.93397E+00	0	G protein coupled receptor	BrainSpLMD|8325;BrainSpMouseDev|14146	OMIM|606146
HIST1H1B	HIST1H1B	1.92997E+00	0	DNA binding protein	BrainSpLMD|3009;Eurexp|euxassay_012857|marginal layer, ventricular layer	OMIM|142711
PLK4	PLK4	1.92193E+00	0	Serine/threonine kinase	BrainSpLMD|10733;Eurexp|euxassay_003979|Meckel's cartilage, clavicle, cranium, rib, turbinate	OMIM|605031;HPO|10733|Abnormality of dental enamel, Abnormality of neuronal migration, Abnormality of retinal pigmentation, Abnormality of the eyelashes, Absent earlobe, Anteverted nares, Aplasia/Hypoplasia of the cerebellum, Autosomal recessive inheritance, Biparietal narrowing, Cachexia, Cataract, Cerebellar atrophy, Cerebral atrophy, Cerebral cortical atrophy, Clinodactyly of the 5th finger, Cognitive impairment, Cone-shaped epiphysis, Congenital onset, Convex nasal ridge, Cortical gyral simplification, Craniosynostosis, Delayed skeletal maturation, Downslanted palpebral fissures, Glaucoma, Global developmental delay, Hip dysplasia, Hypertonia, Intellectual disability, Intrauterine growth retardation, Joint hyperflexibility, Microcephaly, Microcornea, Micrognathia, Microphthalmia, Mild global developmental delay, Narrow face, Nystagmus, Optic atrophy, Pointed chin, Prematurely aged appearance, Protruding ear, Reduced number of teeth, Sandal gap, Scoliosis, Seizures, Short stature, Sloping forehead, Sparse scalp hair, Strabismus, Visual impairment, Wide nasal bridge
CD58	CD58	1.91711E+00	0	Unclassified	BrainSpLMD|965	OMIM|153420
RP11.303E16.2	RP11.303E16.2	1.91390E+00	0			
CDKN3	CDKN3	1.91014E+00	0	Dual specificity phosphatase	BrainSpLMD|1033;Eurexp|euxassay_014422|axial skeleton, basioccipital bone, basisphenoid bone, exoccipital bone, femur, fibula, orbito-sphenoid, pelvic girdle, temporal bone, tibia, turbinate, vault of skull	OMIM|123832
GINS1	GINS1	1.90995E+00	0	Unclassified	BrainSpLMD|9837	OMIM|610608
FANCD2	FANCD2	1.90710E+00	0	Cell cycle control protein	BrainSpLMD|2177	OMIM|613984;COSMIC||AML, leukaemia;HPO|2177|Abnormal heart morphology, Abnormality of chromosome stability, Abnormality of skin pigmentation, Absent radius, Absent thumb, Almond-shaped palpebral fissure, Anemia, Anemic pallor, Aplasia/Hypoplasia of the radius, Autosomal recessive inheritance, Bruising susceptibility, Cafe-au-lait spot, Chromosomal breakage induced by crosslinking agents, Complete duplication of thumb phalanx, Cryptorchidism, Deficient excision of UV-induced pyrimidine dimers in DNA, Duplicated collecting system, Ectopic kidney, Esophageal atresia, Global developmental delay, Hearing impairment, Horseshoe kidney, Hypergonadotropic hypogonadism, Hypopigmented skin patches, Intellectual disability, Irregular hyperpigmentation, Leukemia, Leukopenia, Microcephaly, Microphthalmia, Neutropenia, Pancytopenia, Prolonged G2 phase of cell cycle, Pyridoxine-responsive sideroblastic anemia, Renal agenesis, Reticulocytopenia, Scoliosis, Short palpebral fissure, Short stature, Short thumb, Small for gestational age, Strabismus, Thrombocytopenia, Tracheoesophageal fistula
PSRC1	PSRC1	1.90615E+00	0	Unclassified	BrainSpLMD|84722;Eurexp|euxassay_003651|left lung, marginal layer, right lung, submandibular gland primordium, thymus primordium, ventricular layer	OMIM|613126
SKA3	SKA3	1.90513E+00	0	Unclassified	BrainSpLMD|221150;Eurexp|euxassay_011780|brain, choroid invagination, left lung, mantle layer, right lung, ventricle, vertebral axis muscle system	
KIF18A	KIF18A	1.90167E+00	0	Motor protein	BrainSpLMD|81930	OMIM|611271
ASPM	ASPM	1.89942E+00	0	Unclassified	BrainSpLMD|259266	SFARI||Autism, 3 - Suggestive evidence;OMIM|605481;HPO|259266|Abnormal cortical bone morphology, Agenesis of corpus callosum, Attention deficit hyperactivity disorder, Autosomal recessive inheritance, Congenital onset, Cortical gyral simplification, Delayed speech and language development, Global developmental delay, Heterotopia, Highly arched eyebrow, Hyperreflexia, Hypoplasia of the corpus callosum, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, severe, Microcephaly, Motor delay, Narrow forehead, Pachygyria, Proptosis, Short stature, Sloping forehead, Small cerebral cortex, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
PLCH1	PLCH1	1.88340E+00	0	Unclassified	BrainSpMouseDev|92752	OMIM|612835
CDCA3	CDCA3	1.87864E+00	0	Unclassified	BrainSpLMD|83461;Eurexp|euxassay_004852|cortex, left, marginal layer, mesenchyme, olfactory, orbito-sphenoid, right, submandibular gland primordium, thymus primordium, ventral grey horn, ventricular layer	OMIM|607749
NCAPG	NCAPG	1.87363E+00	0	DNA binding protein	BrainSpLMD|64151;Eurexp|euxassay_013748|epithelium, incisor, left lung, liver, metanephros, molar, olfactory, right lung, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa, vomeronasal organ	OMIM|606280
POLQ	POLQ	1.86675E+00	0	DNA polymerase	BrainSpLMD|10721	OMIM|604419;COSMIC||oral SCC, breast cancer
POC1A	POC1A	1.85309E+00	0	Unclassified	BrainSpLMD|25886	OMIM|614783;HPO|25886|Autosomal recessive inheritance, Brachydactyly, Clinodactyly, Cone-shaped epiphysis, Disproportionate short stature, High pitched voice, Hypoplastic pelvis, Hypoplastic sacrum, Long face, Macrocephaly, Mandibular prognathia, Microcephaly, Microtia, Nail dysplasia, Oligospermia, Pointed chin, Prominent forehead, Prominent nose, Short distal phalanx of finger, Short femoral neck, Short metacarpal, Short metatarsal, Small for gestational age, Small hand, Small nail, Sparse hair, Triangular face, Waddling gait
XRCC2	XRCC2	1.85195E+00	0	DNA binding protein	BrainSpLMD|7516	OMIM|600375;HPO|7516|Abnormality of chromosome stability, Absent scaphoid, Almond-shaped palpebral fissure, Aplasia/Hypoplasia of the radius, Autosomal recessive inheritance, Global developmental delay, Growth delay, Hypopigmented skin patches, Intellectual disability, Irregular hyperpigmentation, Leukopenia, Microcephaly, Patent ductus arteriosus, Pyridoxine-responsive sideroblastic anemia, Scoliosis, Short palpebral fissure, Short stature, Thrombocytopenia
MAD2L1	MAD2L1	1.85080E+00	0	Cell cycle control protein	BrainSpLMD|4085	OMIM|601467
PHGDH	PHGDH	1.84407E+00	0	Enzyme: Dehydrogenase	BrainSpLMD|26227	OMIM|606879;HPO|26227|Ablepharon, Abnormality of the philtrum, Absent eyelashes, Absent septum pellucidum, Adducted thumb, Agenesis of corpus callosum, Ambiguous genitalia, Aplasia/Hypoplasia involving the skeletal musculature, Autosomal recessive inheritance, Bifid uterus, Broad foot, Calcaneovalgus deformity, Camptodactyly, Cataract, Cerebellar hypoplasia, Cerebral dysmyelination, Choroid plexus cyst, Cleft palate, Cleft upper lip, Clinodactyly, Congenital cataract, Congenital microcephaly, Cryptorchidism, Dandy-Walker malformation, Decreased fetal movement, Decreased testicular size, Depressed nasal ridge, Everted lower lip vermilion, External genital hypoplasia, Finger syndactyly, Generalized edema, Growth delay, Hydranencephaly, Hypertelorism, Hypogonadism, Hypsarrhythmia, Ichthyosis, Intellectual disability, Intrauterine growth retardation, Joint contracture of the hand, Lack of skin elasticity, Large hands, Lissencephaly, Macrogyria, Macrotia, Megaloblastic anemia, Microcephaly, Micrognathia, Micromelia, Microphthalmia, Muscle cramps, Muscular dystrophy, Nystagmus, Opisthotonus, Pachygyria, Patent ductus arteriosus, Patent foramen ovale, Polyhydramnios, Polymicrogyria, Proptosis, Pterygium, Pulmonary hypoplasia, Radial deviation of finger, Renal agenesis, Rocker bottom foot, Seizures, Short neck, Short umbilical cord, Skeletal muscle atrophy, Sloping forehead, Small placenta, Spastic tetraplegia, Spina bifida, Stillbirth, Thick lower lip vermilion, Thick vermilion border, Thrombocytopenia, Toe syndactyly, Transposition of the great arteries, Trismus, Ventricular septal defect, Yellow subcutaneous tissue covered by thin, scaly skin
FAM64A	FAM64A	1.83914E+00	0			
MASTL	MASTL	1.83843E+00	0	Unclassified	BrainSpLMD|84930;Eurexp|euxassay_000091|liver, otic capsule, thymus primordium, tooth	OMIM|608221;HPO|84930|Autosomal dominant inheritance, Bruising susceptibility, Thrombocytopenia
BIRC5	BIRC5	1.82328E+00	0	Adapter molecule	BrainSpLMD|332	OMIM|603352
E2F7	E2F7	1.81220E+00	0	Transcription factor	BrainSpLMD|144455;Eurexp|euxassay_011832|cortex, ventricular layer;BrainSpMouseDev|32159	OMIM|612046
FAM111A	FAM111A	1.80900E+00	0	Unclassified	BrainSpLMD|63901;Eurexp|euxassay_011616|lobe, mandible, maxilla, orbito-sphenoid, thymus primordium, thyroid, ventricular layer	OMIM|615292;HPO|63901|Abnormality of the medullary cavity of the long bones, Anemia, Aniridia, Ankyloglossia, Ascites, Autosomal dominant inheritance, Basal ganglia calcification, Brachydactyly, Congenital cataract, Delayed closure of the anterior fontanelle, Failure to thrive, Flared metaphysis, Global developmental delay, Hydrocephalus, Hypermetropia, Hypocalcemia, Hypoparathyroidism, Hypoplastic spleen, Increased bone mineral density, Macrocephaly, Micropenis, Microphthalmia, Papilledema, Prominent forehead, Retinal calcification, Seizures, Severe short stature, Short stature, Slender long bone, Small for gestational age, Thickened cortex of long bones, Transient hypophosphatemia
CENPK	CENPK	1.79968E+00	0	Unclassified	BrainSpLMD|64105	OMIM|611502
SPC24	SPC24	1.79837E+00	0	Cell cycle control protein	BrainSpLMD|147841;Eurexp|euxassay_006353|ventricular layer	OMIM|609394
NEK2	NEK2	1.79639E+00	0	Serine/threonine kinase	BrainSpLMD|4751	OMIM|604043;HPO|4751|Abnormal electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Cataract, Conductive hearing impairment, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Progressive night blindness, Rod-cone dystrophy, Sensorineural hearing impairment, Wide nasal bridge
ZNF367	ZNF367	1.79296E+00	0	DNA binding protein	BrainSpLMD|195828	OMIM|610160
FOXM1	FOXM1	1.79090E+00	0	Transcription factor	BrainSpLMD|2305;BrainSpMouseDev|14012	OMIM|602341
ANLN	ANLN	1.78040E+00	0	Structural protein	BrainSpLMD|54443;Eurexp|euxassay_004352|ventricular layer	OMIM|616027;HPO|54443|Autosomal dominant inheritance, Focal segmental glomerulosclerosis, Nephrotic syndrome, Proteinuria, Stage 5 chronic kidney disease
CASC5	CASC5	1.78026E+00	0			
